12000,0,0
19336,366804,0
26604,363404,183402
26604,2,0
26609,246,2
26613,243,246
26814,10001,243
27009,9760,10001
27009,0,9760
27009,0,0
27009,0,0
27009,0,0
27009,0,0
27009,0,0
27009,0,0
27009,0,0
27011,91,0
27080,3463,91
27224,7199,3463
27436,10595,7199
27685,12451,10595
28029,17226,12451
28410,19029,17226
28835,21247,19029
29494,32957,21247
30261,38335,16479
30889,31422,19168
31247,17877,15711
31579,16610,17877
32650,53586,16610
33722,53581,26793
34041,15959,26791
34400,17943,15959
35566,58280,17943
36677,55564,29140
36686,446,27782
36749,3170,446
37671,46067,3170
38549,43916,23034
38552,164,21958
38556,196,164
39899,67128,196
41124,61252,33564
41234,5509,30626
41703,23442,5509
43164,73073,23442
44548,69179,36537
44555,338,34590
44555,16,338
44903,17390,16
45023,6029,17390
37687,0,6029
30433,713,0
30450,808,713
30445,0,808
30440,0,0
30254,730,0
30065,285,730
30065,18,285
30065,10,18
30129,3190,10
30159,1514,3190
30159,0,1514
30159,0,0
30159,0,0
30159,0,0
30158,0,0
30088,0,0
29944,0,0
29733,0,0
29488,229,0
29768,31247,229
30593,60259,15624
30875,35341,30130
31248,51632,17671
32008,76291,25816
32606,61334,38146
33978,86485,0
36692,152303,43243
38219,129952,0
39812,133212,64976
42157,133212,0
43052,62707,66606
43141,62707,0
42466,21849,31354
42894,21849,21849
43880,52432,21849
44187,61449,26216
43333,1188,30725
43568,11942,1188
44928,68197,11942
44790,60219,34099
43570,231,30110
43652,9616,231
44137,47703,9616
43386,35525,23852
42003,0,35525
42426,21504,0
42921,24758,21504
42573,0,24758
42452,0,0
42452,0,0
42438,0,0
42422,0,0
42422,0,0
42422,0,0
42407,0,0
42402,0,0
42401,0,0
42401,0,0
42337,0,0
42307,0,0
42307,0,0
42307,0,0
42307,0,0
42307,0,0
42307,0,0
42307,0,0
42307,0,0
42498,9530,0
43376,44129,9530
44268,75866,22065
44548,74244,37933
45065,61211,37122
45352,66001,30606
45737,95503,33001
46457,97350,47752
46234,75352,0
46337,157429,37676
46662,146191,78715
44546,27451,0
44420,126888,27451
45593,121357,63444
44557,10914,0
45411,64523,10914
46412,71916,32262
45406,2143,35958
44372,9735,2143
44930,29113,9735
44860,8444,29113
43496,0,8444
42292,0,0
42287,0,0
42095,7,0
41148,337,7
40441,182,337
40445,200,182
40026,564,200
39539,413,564
39546,320,413
39558,596,320
39558,0,596
39558,0,0
39558,0,0
39558,0,0
39558,0,0
39558,0,0
39558,0,0
39558,0,0
39565,384,0
39606,2026,384
39624,884,2026
39625,84,884
39625,0,84
39632,315,0
39821,9448,315
40523,35147,9448
41576,52636,35147
43192,80770,26318
44525,76183,40385
44593,47566,38092
44469,69650,23783
44324,67002,34825
44285,59237,33501
44118,57668,29619
42949,37056,28834
41627,31252,37056
41297,58843,31252
39091,47112,29422
36167,10,23556
35618,17,10
33773,34628,17
31953,30360,17314
31761,1313,30360
32270,89946,1313
33101,113464,44973
34485,71361,0
39687,269834,35681
44501,269834,134917
48526,209657,0
57295,438452,104829
65786,424569,0
71627,292023,212285
77739,305635,0
81246,175663,152818
84080,141882,0
86157,104052,70941
88494,117437,52026
89232,37327,58719
90158,46612,37327
95768,281066,46612
101779,300567,140533
102830,52532,0
109694,343196,52532
116868,358728,171598
120679,190564,0
124833,207672,95282
127626,139636,103836
127661,1765,69818
128293,32013,1765
131656,170164,32013
135279,182047,85082
135807,26439,91024
136460,32652,26439
141161,235399,32652
145739,238318,117700
145869,41686,119159
146252,71756,41686
146978,117078,71756
146830,68808,117078
146353,23683,68808
145630,33507,23683
144512,11102,33507
143534,10347,11102
142841,22992,10347
142370,13501,22992
141836,4579,13501
140683,1211,4579
139752,531,1211
139752,7,531
139774,1114,7
139397,15815,1114
139262,23568,15815
139657,21083,23568
138171,15634,21083
136472,28511,15634
136392,67393,28511
132668,83633,67393
131602,216528,83633
133885,323821,108264
131423,315321,161911
128359,271354,0
128009,274566,135677
126216,215950,0
124728,101301,107975
123689,89920,101301
